序号,传输方向,第几路CAN,时间标识,增量时间,帧 ID,帧类型,帧格式,数据长度,数据,
129,接收,0,13:53:10.696.780 ,00:00:00.003.817 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
130,接收,0,13:53:10.698.784 ,00:00:00.002.004 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
131,接收,0,13:53:10.699.356 ,00:00:00.000.572 ,0x18F00029,数据帧,扩展帧,08,c0 7d ff ff ff ff ff 75 ,
132,接收,0,13:53:10.700.812 ,00:00:00.001.456 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
133,接收,0,13:53:10.706.784 ,00:00:00.005.972 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
134,接收,0,13:53:10.707.356 ,00:00:00.000.572 ,0x18EBFF00,数据帧,扩展帧,08,04 01 27 06 05 01 ff ff ,
135,接收,0,13:53:10.708.784 ,00:00:00.001.428 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
136,接收,0,13:53:10.709.372 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
137,接收,0,13:53:10.716.773 ,00:00:00.007.401 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
138,接收,0,13:53:10.717.361 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
139,接收,0,13:53:10.718.785 ,00:00:00.001.424 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
140,接收,0,13:53:10.723.050 ,00:00:00.004.265 ,0x18FEF200,数据帧,扩展帧,08,00 00 00 00 00 00 00 ff ,
141,接收,0,13:53:10.724.878 ,00:00:00.001.828 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
142,接收,0,13:53:10.726.786 ,00:00:00.001.908 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
143,接收,0,13:53:10.727.366 ,00:00:00.000.580 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f5 ff ff ff ff ,
144,接收,0,13:53:10.728.794 ,00:00:00.001.428 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
145,接收,0,13:53:10.732.894 ,00:00:00.004.100 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
146,接收,0,13:53:10.736.783 ,00:00:00.003.889 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
147,接收,0,13:53:10.738.787 ,00:00:00.002.004 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
148,接收,0,13:53:10.739.367 ,00:00:00.000.580 ,0x18FFA200,数据帧,扩展帧,08,ff f1 05 ff ff 00 ff ff ,
149,接收,0,13:53:10.740.891 ,00:00:00.001.524 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
150,接收,0,13:53:10.746.787 ,00:00:00.005.896 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
151,接收,0,13:53:10.748.788 ,00:00:00.002.001 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
152,接收,0,13:53:10.749.376 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
153,接收,0,13:53:10.756.776 ,00:00:00.007.400 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
154,接收,0,13:53:10.757.364 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
155,接收,0,13:53:10.758.789 ,00:00:00.001.425 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
156,接收,0,13:53:10.759.357 ,00:00:00.000.568 ,0x18ECFF00,数据帧,扩展帧,08,20 22 00 05 ff e3 fe 00 ,
157,接收,0,13:53:10.759.941 ,00:00:00.000.584 ,0x18FEEE00,数据帧,扩展帧,08,ff ff ff ff ff ff ff ff ,
158,接收,0,13:53:10.764.798 ,00:00:00.004.857 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
159,接收,0,13:53:10.766.790 ,00:00:00.001.992 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
160,接收,0,13:53:10.768.794 ,00:00:00.002.004 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
161,接收,0,13:53:10.772.970 ,00:00:00.004.176 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
162,接收,0,13:53:10.774.946 ,00:00:00.001.976 ,0x18FEF100,数据帧,扩展帧,08,ff 00 00 40 00 1e 1f ff ,
163,接收,0,13:53:10.776.783 ,00:00:00.001.837 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
164,接收,0,13:53:10.777.362 ,00:00:00.000.579 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f5 ff ff ff ff ,
165,接收,0,13:53:10.778.787 ,00:00:00.001.425 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
